image_id,label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11
IMG-EQU-000,equipment_fault,0.22735744714736938,0.19492478668689728,0.22421026229858398,0.13384957611560822,0.05893609672784805,0.06619289517402649,0.09318660944700241,0.0837673611111111,0.0869140625,0.3289930555555556,0.21549437940120697,0.09382719546556473
IMG-EQU-001,equipment_fault,0.21201744675636292,0.198148712515831,0.22149492800235748,0.1693323403596878,0.05949871242046356,0.06660617887973785,0.09645501524209976,0.0859375,0.0890842013888889,0.8435329861111112,0.2105504274368286,0.11094405502080917
IMG-EQU-002,equipment_fault,0.22946813702583313,0.1766933798789978,0.233286514878273,0.16240397095680237,0.059683043509721756,0.06655861437320709,0.09764476865530014,0.087890625,0.1281467013888889,0.6922743055555556,0.21314509212970734,0.11010302603244781
IMG-EQU-003,equipment_fault,0.24733659625053406,0.1855519413948059,0.20319406688213348,0.15701061487197876,0.060038525611162186,0.06843619048595428,0.0990162044763565,0.08658854166666667,0.205078125,0.12565104166666666,0.21202541887760162,0.10796020925045013
IMG-EQU-004,equipment_fault,0.19818121194839478,0.18551212549209595,0.20336371660232544,0.06597182154655457,0.06509140878915787,0.0713423639535904,0.09668862819671631,0.07877604166666667,0.13118489583333334,0.2124565972222222,0.19568198919296265,0.06794022768735886
IMG-EQU-005,equipment_fault,0.22985678911209106,0.20661966502666473,0.23038853704929352,0.16519907116889954,0.06104716658592224,0.06696005165576935,0.10163867473602295,0.08648003472222222,0.0906032986111111,0.6091579861111112,0.22228479385375977,0.10934565961360931
IMG-EQU-006,equipment_fault,0.2361900508403778,0.21600867807865143,0.23334558308124542,0.17386426031589508,0.06211685761809349,0.06703134626150131,0.10330457240343094,0.08843315972222222,0.0910373263888889,0.5886501736111112,0.22851094603538513,0.11375297605991364
IMG-EQU-007,equipment_fault,0.243574857711792,0.21904093027114868,0.2151053100824356,0.16514326632022858,0.06276420503854752,0.06822948902845383,0.10407008230686188,0.08604600694444445,0.09407552083333333,0.2261284722222222,0.2259039282798767,0.11006485670804977
IMG-EQU-008,equipment_fault,0.20932261645793915,0.19177459180355072,0.2091788500547409,0.18070504069328308,0.059167563915252686,0.06732624769210815,0.09588226675987244,0.08854166666666667,0.08821614583333333,0.8000217013888888,0.20342203974723816,0.11675212532281876
IMG-EQU-009,equipment_fault,0.2423546016216278,0.19464737176895142,0.22119033336639404,0.13986635208129883,0.0594324953854084,0.06659624725580215,0.09473720192909241,0.08257378472222222,0.09917534722222222,0.15614149305555555,0.21939538419246674,0.09776245802640915
